CODIGO_VENDEDOR;NOME_VENDEDOR
1;Sr. Levi Ribeiro
2;Dr. Francisco das Neves
3;Srta. Sophie Cardoso
4;Ian Jesus
5;Luna Nogueira
6;Paulo Silveira
7;Cauã da Rosa
8;Felipe Fernandes
9;Francisco Cardoso
10;Calebe Gonçalves
11;Leandro Araújo
12;Joana Nogueira
13;Juliana Pereira
14;Marina Pires
15;Daniela Farias
16;Natália Fernandes
17;Srta. Maria Eduarda Porto
18;Maria Fernanda Rezende
19;Antônio Souza
20;Leandro Cardoso
21;Pedro Henrique Freitas
22;Ana Júlia Porto
23;Rafaela Barros
24;Lara Cardoso
25;Marcelo Oliveira
26;João Pedro Campos
27;Maria Fernanda Mendes
28;Carlos Eduardo Barbosa
29;Stephany Ribeiro
30;Maria Luiza Barbosa
31;João Guilherme Costa
32;Ryan Nascimento
33;Dr. Paulo Azevedo
34;Davi Lucca Vieira
35;Dr. Felipe da Cunha
36;Lucas Gabriel Gomes
37;Nicolas Cavalcanti
38;Pedro Porto
39;Marcos Vinicius Fogaça
40;Mariana Martins
41;Dr. Marcelo Silva
42;Cauã Moreira
43;Samuel Gomes
44;Alice da Cunha
45;André Nunes
46;Sr. João Felipe da Cruz
47;Maria Cecília da Mata
48;Lucas Cardoso
49;Augusto Peixoto
50;Bernardo da Conceição
51;Cauê Costela
