CODIGO_CLIENTE;NOME_CLIENTE;DATA_NASCIMENTO;IDADE_CLIENTE;DESCRICAO_ENDERECO;NUMERO_ENDERECO;NOME_CIDADE;NUMERO_TELEFONE;EMAIL_CLIENTE;OCUPACAO_CLIENTE
1;Agatha Costa;1998-06-29;25;Vale Cardoso;93;Gomes de Lima;+55 (084) 8510-3887;moraesjoao-pedro@ig.com.br;Educador
2;Agatha Farias;1994-02-12;29;Jardim Pietro Nogueira;19;da Rocha;+55 71 6600-4258;gabrielamoreira@santos.org;Juiz de futebol
3;Agatha Moreira;1971-01-07;53;Praia Mirella Ferreira;74;Souza;0300-818-4474;elisa55@yahoo.com.br;Somelier
4;Alana Castro;2011-08-29;12;Rua de Ribeiro;19;Barros do Campo;(081) 6251-4969;xfreitas@rocha.com;Portuário
5;Alana Correia;2013-03-07;10;Fazenda de Cardoso;9;da Costa;+55 61 1886-9016;rjesus@bol.com.br;Moldador
6;Alana Moura;2021-11-26;2;Colônia de Viana;41;Barbosa Verde;+55 (041) 8219-7840;sophia16@gmail.com;Clínico geral
7;Alexandre Aragão;2015-07-09;8;Setor Rocha;58;da Cunha;(041) 3180 5039;anascimento@silveira.com;Psicólogo
8;Alexandre Barros;1997-06-10;26;Morro Teixeira;411;Cardoso;+55 (081) 2849 7644;miguel25@yahoo.com.br;Topógrafo
9;Alexandre Santos;1976-07-27;47;Jardim da Costa;50;Gomes do Oeste;+55 (021) 8477-8293;catarina43@bol.com.br;Cientista
10;Alexandre da Costa;2016-02-08;7;Avenida de Araújo;46;Costa;+55 21 3203 9522;leandroda-luz@goncalves.com;Diagramador
11;Alexandre da Cunha;1974-04-18;49;Praça Natália Pinto;414;Nascimento;84 7020 2118;silveiratheo@da.br;Carteiro
12;Alexia Azevedo;1999-11-11;24;Vereda de Costela;33;Monteiro de Cunha;(041) 9126-6902;qaragao@nunes.com;Tecnólogo em recursos pesqueiros
13;Alexia Cardoso;1977-04-25;46;Trevo Nathan Barbosa;83;da Paz;71 2082 5132;maysa91@ig.com.br;Surfista
14;Alexia Cardoso;2000-02-19;23;Vereda Jesus;2;da Costa Paulista;31 0983 1961;da-costamarcos-vinicius@ig.com.br;Balconista
15;Alexia Moraes;1995-03-14;28;Alameda de Almeida;29;da Cruz;+55 84 8875-9263;da-conceicaoryan@ig.com.br;Carteiro
16;Alexia Pinto;1992-06-10;31;Via de Moura;288;Sales;(051) 2765 7657;nathansilveira@uol.com.br;Mestre-de-obras
17;Alexia Ribeiro;1987-05-23;36;Vale Gabriela da Mota;6;Jesus;+55 (081) 4877-7418;esthercorreia@gmail.com;Designer de interiores
18;Alice Aragão;1997-06-13;26;Jardim das Neves;68;Barbosa;21 4850-5215;emanuellapereira@peixoto.com;Técnico em aviação
19;Alice Barros;2014-10-15;9;Feira de Lima;73;Farias da Prata;+55 (031) 9461 3957;enzo39@gmail.com;Regente
20;Alice Duarte;1977-11-19;46;Chácara Valentina da Luz;160;Peixoto Paulista;11 5264 7179;joao-vitor45@da.org;Afiador de ferramentas
21;Alice Ferreira;2001-08-19;22;Vale de Carvalho;19;da Costa do Campo;+55 (071) 3082 4426;agathasantos@gmail.com;Contábil
22;Alice Mendes;2012-11-10;11;Setor Marcela Campos;72;da Mata da Praia;(021) 6679 7886;caldeiraana-livia@santos.br;Encarregado de manutenção predial
23;Alice Nogueira;1983-10-28;40;Residencial Castro;73;Moraes;+55 (051) 0753 8441;mendessabrina@silva.com;Engenheiro aeronáutico
24;Alice Pinto;1985-06-09;38;Núcleo de Costa;80;da Cunha;+55 (011) 9933-1657;xcosta@yahoo.com.br;Cantor
25;Alice Vieira;2023-08-18;0;Lago Costa;422;Castro;+55 31 0734 5379;cardosomaria-julia@yahoo.com.br;Transcritor
26;Alice da Cunha;2005-05-25;18;Lagoa de Castro;80;Gonçalves das Flores;(021) 4802 0356;larissa40@da.org;Aeromoça
27;Alícia Nogueira;2017-09-15;6;Distrito Raul Jesus;54;da Costa;(031) 9228-2000;edias@farias.br;Impressor
28;Alícia da Paz;1975-10-25;48;Recanto Caldeira;80;Rocha;+55 (084) 3294-3828;correiaolivia@bol.com.br;Perito criminal
29;Amanda Moreira;1973-10-31;50;Vereda Cardoso;21;Martins;21 2930 7509;pereiramirella@ig.com.br;Gerente de inovações ou novos negócios
30;Amanda Viana;1985-01-29;39;Estação Rodrigues;37;Castro de Costa;+55 (011) 6022-2609;gustavo33@azevedo.net;Instrutor
31;Amanda da Mata;2019-03-08;4;Trevo Maria Julia das Neves;41;da Costa Alegre;+55 71 4806 4050;andresantos@da.com;Karateca
32;Ana Beatriz Campos;2020-12-19;3;Lagoa de da Costa;5;Cardoso das Pedras;+55 (051) 3970-5222;diasluiza@ig.com.br;Engenheiro de transportes
33;Ana Beatriz Farias;2012-07-03;11;Residencial Nunes;62;Souza do Amparo;+55 84 9454 2674;bda-paz@duarte.br;Babysitter
34;Ana Beatriz Rodrigues;1989-03-29;34;Residencial Alana Alves;6;Jesus;(011) 9521-2282;lucas-gabriel76@bol.com.br;Endodontista
35;Ana Beatriz Silva;2017-12-02;6;Pátio Costa;27;Barros de Peixoto;(051) 1578 8850;sferreira@uol.com.br;Confeiteiro
36;Ana Beatriz Silveira;2004-05-02;19;Trecho de Cardoso;3;Melo;31 1266 1829;kpereira@gmail.com;Profissional de reciclagem
37;Ana Beatriz da Cunha;2006-01-04;18;Chácara Gabrielly Barros;28;Aragão da Serra;51 2036 6760;cunhavinicius@yahoo.com.br;Vendedor
38;Ana Beatriz da Cunha;1975-08-18;48;Área Nina da Mota;658;Moraes de Nunes;+55 61 1919 3663;moraesrafael@yahoo.com.br;Degustador
39;Ana Beatriz da Rosa;1996-02-13;27;Chácara Martins;790;Santos dos Dourados;+55 71 8153 2878;nogueiradanilo@santos.com;Nutricionista
40;Ana Carolina Aragão;1979-08-28;44;Trevo de Carvalho;1;Rodrigues;84 1656-3374;raul83@moreira.br;Físico
41;Ana Carolina Correia;2014-08-05;9;Chácara Lara da Conceição;535;Teixeira;0500 912 6993;eduardo81@cavalcanti.com;Engenheiro naval
42;Ana Carolina Fogaça;1984-06-04;39;Rodovia de Martins;96;Gomes;+55 51 8320 2290;enriconogueira@da.com;Treinador
43;Ana Carolina das Neves;1975-04-03;48;Vereda Francisco Freitas;360;Gonçalves Verde;(051) 2450 2907;rezendedavi@ig.com.br;Ufólogo
44;Ana Clara Cardoso;2015-04-11;8;Vale da Rosa;9;da Paz;+55 84 5260 8063;maria-fernanda96@monteiro.com;Surfista
45;Ana Clara Duarte;2003-12-07;20;Área da Cruz;508;Duarte de Campos;+55 (084) 2222-0763;pedro-henrique54@souza.org;Engenheiro de computação
46;Ana Clara Fernandes;1990-11-15;33;Quadra Lucas Fogaça;24;Pires;+55 41 9428 4481;monteirosabrina@hotmail.com;Contábil
47;Ana Clara Moreira;2001-06-20;22;Trevo Ryan Costela;99;Teixeira;(084) 4044-6274;llopes@hotmail.com;Secretária
48;Ana Clara Vieira;1988-12-11;35;Núcleo Barros;16;Cardoso;(084) 2472 3497;joanavieira@uol.com.br;Flautista
49;Ana Júlia Cunha;1988-01-27;36;Condomínio de Ramos;29;Pires de Peixoto;(084) 2506-9748;limadavi-luiz@castro.br;Caixa
50;Ana Júlia Moreira;1994-08-27;29;Feira Azevedo;94;Farias de Minas;0500 558 8654;maysagoncalves@uol.com.br;Engenheiro de processos
51;Ana Júlia Oliveira;2003-06-20;20;Área Kevin Carvalho;33;Monteiro da Serra;(081) 0424 9317;stephanyalves@alves.net;Astronauta
52;Ana Júlia Ribeiro;2022-12-02;1;Chácara de da Luz;75;Almeida do Galho;(051) 5029-9793;cda-conceicao@bol.com.br;Educador integrado à saúde pública
53;Ana Júlia Silva;2019-01-04;5;Sítio de Pereira;2;Silveira;+55 (071) 4844-8642;maria-eduardada-rosa@hotmail.com;Taxidermista/Embalsamador
54;Ana Laura Cardoso;2014-09-03;9;Estrada Isadora Oliveira;18;Barbosa;11 5242-2568;valentinacardoso@da.com;Tabelião
