CODIGO_VENDEDOR;NOME_VENDEDOR
1;Heloísa Fernandes
2;Letícia Cunha
3;Sr. Matheus Cunha
4;Cauê Alves
5;Danilo Nascimento
6;Joaquim Alves
7;Benício da Luz
8;Elisa Novaes
9;Daniela Alves
10;Eduardo Sales
11;Srta. Giovanna Costela
12;Valentina Barbosa
13;Raquel da Mota
14;Daniela Peixoto
15;Dra. Luiza Novaes
16;Lucca Cardoso
17;Melissa Aragão
18;Maria Sophia Castro
19;Ana Julia Almeida
20;Mariane Nascimento
21;Breno Freitas
22;Luigi Duarte
23;Ian Pereira
24;João Gabriel Nunes
25;Matheus Cardoso
26;Emanuel Freitas
27;Nicolas Azevedo
28;Marcela Pereira
29;Maria Julia Silveira
30;Amanda da Rocha
31;Luna Rezende
32;Pedro Ramos
33;Sarah Nunes
34;Gabriel Rocha
35;Enzo Araújo
36;Rafaela Nascimento
37;Alexia Nogueira
38;Isabel Dias
39;Cauê Souza
